nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,161451,2022-08-22T14:05:26Z,2026-03-03T12:28:41Z,1288,0,Python,1884,27,2399,5486,0.6957514267596703
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,159978,2015-05-20T15:11:03Z,2026-03-03T12:42:08Z,3939,0,,317,0,122,136,0.5271317829457365
huggingface/transformers,https://github.com/huggingface/transformers,157290,2018-10-29T13:56:00Z,2026-03-03T13:45:03Z,2681,0,Python,18700,243,1076,17574,0.9423056300268097
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,154001,2018-05-07T13:27:00Z,2026-03-03T13:42:00Z,2857,0,Java,1211,0,74,1056,0.9345132743362832
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,150431,2024-05-30T13:23:00Z,2026-03-03T13:26:20Z,642,0,HTML,1,0,0,0,
f/prompts.chat,https://github.com/f/prompts.chat,149874,2022-12-05T13:54:13Z,2026-03-03T13:44:32Z,1183,0,HTML,200,0,4,126,0.9692307692307692
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,149385,2020-10-26T04:22:55Z,2026-03-03T13:42:02Z,1954,0,Python,3227,130,1812,9299,0.8369183691836919
airbnb/javascript,https://github.com/airbnb/javascript,148088,2012-11-01T23:13:50Z,2026-03-03T11:15:09Z,4869,0,JavaScript,813,0,100,1299,0.9285203716940672
langflow-ai/langflow,https://github.com/langflow-ai/langflow,145214,2023-02-08T22:28:03Z,2026-03-03T13:34:54Z,1118,0,Python,5735,282,342,2815,0.8916693063034526
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,144544,2016-05-04T06:24:11Z,2026-03-03T13:47:47Z,3590,0,Python,17,63,280,2681,0.9054373522458629
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,139768,2010-10-31T14:35:07Z,2026-03-03T13:04:54Z,5601,0,Python,1646,341,3630,23189,0.8646481971736456
vercel/next.js,https://github.com/vercel/next.js,138091,2016-10-05T23:32:51Z,2026-03-03T13:48:02Z,3435,0,JavaScript,26090,1000,2048,22251,0.9157166961603358
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,137957,2016-07-05T05:00:48Z,2026-03-03T13:34:47Z,3528,0,TypeScript,486,0,44,76,0.6333333333333333
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,136427,2017-11-21T18:00:27Z,2026-03-03T10:30:30Z,3023,0,C,123,50,2670,3284,0.5515619751427612
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,132887,2020-02-19T09:01:23Z,2026-03-03T11:27:21Z,2204,0,Markdown,244,0,0,961,1.0
golang/go,https://github.com/golang/go,132828,2014-08-19T04:33:40Z,2026-03-03T13:36:48Z,4214,0,Go,1,0,9426,60930,0.8660242196827562
langgenius/dify,https://github.com/langgenius/dify,131040,2023-04-12T07:40:24Z,2026-03-03T13:52:58Z,1056,0,TypeScript,9670,158,405,16281,0.9757281553398058
microsoft/PowerToys,https://github.com/microsoft/PowerToys,130189,2019-05-01T17:44:02Z,2026-03-03T13:12:42Z,2497,0,C#,6339,127,8096,30111,0.7881016567644672
langchain-ai/langchain,https://github.com/langchain-ai/langchain,128041,2022-10-17T02:58:36Z,2026-03-03T13:54:54Z,1233,-1,Python,16027,1000,236,8868,0.9740773286467487
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,127503,2025-03-05T16:38:29Z,2026-03-03T13:55:14Z,362,-1,,45,0,86,103,0.544973544973545
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,126929,2017-11-29T17:35:03Z,2026-03-03T13:37:15Z,3015,0,JavaScript,836,12,0,300,1.0
open-webui/open-webui,https://github.com/open-webui/open-webui,125566,2023-10-06T22:08:27Z,2026-03-03T13:55:50Z,878,-1,Python,3307,152,167,7598,0.9784932388924662
facebook/react-native,https://github.com/facebook/react-native,125488,2015-01-09T18:10:16Z,2026-03-03T12:53:19Z,4070,0,C++,953,442,749,26828,0.9728396852449505
krahets/hello-algo,https://github.com/krahets/hello-algo,122609,2022-11-04T11:08:34Z,2026-03-03T12:25:55Z,1215,0,Java,968,10,8,274,0.9716312056737588
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,120873,2014-06-06T22:56:04Z,2026-03-03T13:35:21Z,4287,0,Go,63947,784,1829,46771,0.962366255144033
electron/electron,https://github.com/electron/electron,120288,2013-04-12T01:47:36Z,2026-03-03T13:38:29Z,4708,0,C++,24504,1000,742,20729,0.965441758651204
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,118219,2015-03-18T21:06:26Z,2026-03-03T13:55:14Z,4002,-1,HTML,2897,0,0,0,
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,117879,2020-01-02T01:04:43Z,2026-03-03T13:54:26Z,2252,-1,TypeScript,3834,14,2102,2538,0.5469827586206897
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116379,2013-11-04T01:59:19Z,2026-03-03T12:34:19Z,4502,0,,282,3,0,0,
nodejs/node,https://github.com/nodejs/node,116014,2014-11-26T19:57:11Z,2026-03-03T13:30:58Z,4114,0,JavaScript,11877,483,1758,18321,0.912445838936202
anomalyco/opencode,https://github.com/anomalyco/opencode,114870,2025-04-30T20:08:00Z,2026-03-03T13:54:53Z,306,-1,TypeScript,2557,725,4543,5012,0.5245421245421246
d3/d3,https://github.com/d3/d3,112453,2010-09-27T17:22:42Z,2026-03-03T12:02:15Z,5635,0,Shell,494,194,10,2229,0.9955337204108977
iptv-org/iptv,https://github.com/iptv-org/iptv,112336,2018-11-14T22:00:57Z,2026-03-03T13:03:51Z,2665,0,TypeScript,6819,0,315,21375,0.9854771784232366
mrdoob/three.js,https://github.com/mrdoob/three.js,111152,2010-03-23T18:58:01Z,2026-03-03T13:35:29Z,5823,0,JavaScript,15228,175,444,13061,0.9671232876712329
rust-lang/rust,https://github.com/rust-lang/rust,110815,2010-06-16T20:39:03Z,2026-03-03T13:44:22Z,5738,0,Rust,69498,146,11118,50446,0.8194074459099474
axios/axios,https://github.com/axios/axios,108579,2014-08-18T22:30:27Z,2026-03-03T11:09:29Z,4214,0,JavaScript,1134,109,200,4756,0.9596448748991122
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,108532,2020-09-28T15:36:08Z,2026-03-03T13:53:53Z,1981,0,Rust,3942,35,66,3933,0.9834958739684921
microsoft/TypeScript,https://github.com/microsoft/TypeScript,107999,2014-06-17T15:28:39Z,2026-03-03T13:54:54Z,4276,-1,TypeScript,14857,214,4974,37984,0.8842124866148331
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,107658,2016-03-30T15:47:10Z,2026-03-03T13:54:13Z,3624,-1,,34,0,0,0,
shadcn-ui/ui,https://github.com/shadcn-ui/ui,107604,2023-01-04T12:43:27Z,2026-03-03T13:54:57Z,1154,-1,TypeScript,1007,75,985,2941,0.7491085073866531
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,107420,2023-06-19T16:28:59Z,2026-03-03T13:32:54Z,987,0,Jupyter Notebook,521,0,6,201,0.9710144927536232
godotengine/godot,https://github.com/godotengine/godot,107275,2014-01-04T16:05:36Z,2026-03-03T13:06:01Z,4440,0,C++,41378,66,12985,48261,0.7879861541978251
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,106529,2019-09-05T03:01:56Z,2026-03-03T13:48:57Z,2371,0,Java,0,0,181,162,0.47230320699708456
denoland/deno,https://github.com/denoland/deno,106271,2018-05-15T01:34:26Z,2026-03-03T14:11:13Z,2849,0,Rust,14258,365,2367,11578,0.8302617425600574
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105137,2017-09-15T08:33:19Z,2026-03-03T12:13:05Z,3091,0,Dockerfile,766,0,46,286,0.8614457831325302
fatedier/frp,https://github.com/fatedier/frp,104839,2015-12-21T15:24:59Z,2026-03-03T14:05:57Z,3724,0,Go,729,109,34,4022,0.9916173570019724
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,104720,2023-01-17T03:15:56Z,2026-03-03T13:59:19Z,1141,0,Python,2187,121,3451,4497,0.5658027176648214
facebook/create-react-app,https://github.com/facebook/create-react-app,103829,2016-07-17T14:55:11Z,2026-03-03T13:40:54Z,3515,0,JavaScript,1949,83,1847,6574,0.7806673791711198
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,103756,2013-12-15T14:31:41Z,2026-03-03T13:54:33Z,4460,0,Shell,439,0,2,245,0.9919028340080972
tauri-apps/tauri,https://github.com/tauri-apps/tauri,103539,2019-07-13T09:09:37Z,2026-03-03T13:58:49Z,2425,0,Rust,5395,0,1255,4910,0.7964314679643146
microsoft/terminal,https://github.com/microsoft/terminal,101993,2017-08-11T18:38:22Z,2026-03-03T13:22:10Z,3125,0,C++,4376,146,1648,12166,0.8807007383813522
