nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
vitejs/vite,https://github.com/vitejs/vite,78528,2020-04-21T05:03:57Z,2026-03-03T14:10:19Z,2142,0,TypeScript,6045,658,458,7891,0.9451431309138819
junegunn/fzf,https://github.com/junegunn/fzf,78239,2013-10-23T16:04:23Z,2026-03-03T12:28:05Z,4513,0,Go,642,76,254,2847,0.9180909384069655
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,77997,2019-08-21T13:15:24Z,2026-03-03T13:49:29Z,2386,0,TypeScript,2037,98,561,1768,0.7591240875912408
netdata/netdata,https://github.com/netdata/netdata,77949,2013-06-17T18:39:10Z,2026-03-03T13:48:48Z,4641,0,C,11726,132,168,8035,0.979519687919054
tensorflow/models,https://github.com/tensorflow/models,77689,2016-02-05T01:15:20Z,2026-03-02T09:51:39Z,3679,1,Python,2342,51,1084,6240,0.85199344620426
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,77172,2023-03-27T18:49:32Z,2026-03-03T13:16:11Z,1071,0,C++,938,38,719,1493,0.6749547920433996
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76727,2018-12-06T08:01:22Z,2026-03-03T13:13:32Z,2644,0,Java,63,0,18,43,0.7049180327868853
coder/code-server,https://github.com/coder/code-server,76448,2019-02-27T16:50:41Z,2026-03-03T13:08:36Z,2560,0,TypeScript,1626,223,168,3626,0.955719557195572
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76388,2012-02-17T14:19:43Z,2026-03-03T13:52:39Z,5127,0,JavaScript,220,63,291,19609,0.9853768844221106
zed-industries/zed,https://github.com/zed-industries/zed,76278,2021-02-20T03:01:06Z,2026-03-03T14:03:26Z,1837,0,Rust,22007,1000,2643,15932,0.8577119784656797
elastic/elasticsearch,https://github.com/elastic/elasticsearch,76215,2010-02-08T13:20:56Z,2026-03-03T13:55:22Z,5867,0,Java,87226,235,4495,38572,0.895627742819328
mlabonne/llm-course,https://github.com/mlabonne/llm-course,75991,2023-06-17T22:16:25Z,2026-03-03T14:08:33Z,989,0,,2,0,63,32,0.3368421052631579
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,75923,2017-08-23T04:40:24Z,2026-03-03T13:49:03Z,3114,0,Python,1019,16,0,0,
localsend/localsend,https://github.com/localsend/localsend,75905,2022-12-16T00:46:07Z,2026-03-03T14:01:45Z,1173,0,Dart,701,24,855,739,0.46361355081555833
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,75775,2017-03-05T20:25:17Z,2026-03-03T13:46:52Z,3284,0,,431,0,80,105,0.5675675675675675
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,75676,2016-10-18T07:29:07Z,2026-03-03T13:51:39Z,3423,0,Python,564,5,0,0,
typicode/json-server,https://github.com/typicode/json-server,75633,2013-11-27T13:21:13Z,2026-03-03T14:00:28Z,4479,0,JavaScript,161,46,612,566,0.48047538200339557
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,75588,2016-10-21T17:02:11Z,2026-03-03T14:05:20Z,3419,0,,257,0,0,0,
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,74872,2023-01-27T18:22:42Z,2026-03-03T13:49:39Z,1130,0,TypeScript,3164,166,340,1312,0.7941888619854721
nestjs/nest,https://github.com/nestjs/nest,74811,2017-02-04T20:12:52Z,2026-03-03T13:51:19Z,3313,0,TypeScript,8067,142,18,5766,0.9968879668049793
ventoy/Ventoy,https://github.com/ventoy/Ventoy,74791,2020-03-10T15:19:19Z,2026-03-03T14:08:12Z,2183,0,C,294,108,812,1878,0.6981412639405205
unionlabs/union,https://github.com/unionlabs/union,74269,2023-05-16T22:33:39Z,2026-03-03T14:11:38Z,1021,0,Rust,3102,107,128,1709,0.9303211758301578
infiniflow/ragflow,https://github.com/infiniflow/ragflow,74083,2023-12-12T06:13:13Z,2026-03-03T14:09:23Z,812,0,Python,5410,40,2968,3616,0.5492102065613609
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73626,2015-10-20T00:16:14Z,2026-03-03T13:02:24Z,3787,0,,3611,0,39,191,0.8304347826086956
github/spec-kit,https://github.com/github/spec-kit,73575,2025-08-21T22:54:31Z,2026-03-03T14:12:30Z,193,-1,Python,165,111,536,327,0.37891077636152953
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,73372,2018-05-19T00:53:06Z,2026-03-03T14:10:33Z,2845,0,Go,1809,176,778,1740,0.6910246227164416
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,73322,2018-12-24T14:30:48Z,2026-03-03T13:04:13Z,2625,0,Python,734,2,80,1069,0.9303742384682332
redis/redis,https://github.com/redis/redis,73213,2009-03-21T22:32:25Z,2026-03-03T13:52:31Z,6190,0,C,4425,117,2210,4704,0.6803586925079549
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,73180,2014-11-20T06:20:50Z,2026-03-03T14:12:00Z,4121,0,,188,1,74,48,0.39344262295081966
anthropics/claude-code,https://github.com/anthropics/claude-code,73108,2025-02-22T17:41:21Z,2026-03-03T14:12:37Z,373,-1,Shell,145,51,5154,23986,0.8231297185998627
lobehub/lobehub,https://github.com/lobehub/lobehub,72957,2023-05-21T07:19:12Z,2026-03-03T14:08:07Z,1017,0,TypeScript,4313,1000,586,4806,0.891320474777448
twitter/the-algorithm,https://github.com/twitter/the-algorithm,72833,2023-03-27T14:57:57Z,2026-03-03T12:13:15Z,1071,0,Scala,2,0,317,749,0.702626641651032
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,72655,2014-08-12T18:04:59Z,2026-03-03T12:44:52Z,4220,0,C++,1432,35,430,2318,0.8435225618631732
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,72609,2022-08-10T14:36:44Z,2026-03-03T11:49:15Z,1300,0,Jupyter Notebook,5,0,536,199,0.2707482993197279
grafana/grafana,https://github.com/grafana/grafana,72445,2013-12-11T15:59:56Z,2026-03-03T13:42:22Z,4464,0,TypeScript,62467,592,3261,39866,0.9243861154265309
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72302,2017-10-16T10:12:36Z,2026-03-03T13:29:07Z,3060,0,,179,1,0,151,1.0
enaqx/awesome-react,https://github.com/enaqx/awesome-react,72211,2014-08-06T05:31:44Z,2026-03-03T13:17:17Z,4227,0,,794,0,1,116,0.9914529914529915
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,71802,2014-07-15T19:11:19Z,2026-03-03T13:44:24Z,4248,0,Python,902,0,0,97,1.0
openai/openai-cookbook,https://github.com/openai/openai-cookbook,71799,2022-03-11T02:08:53Z,2026-03-03T14:06:03Z,1453,0,Jupyter Notebook,1003,0,70,655,0.903448275862069
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,71777,2023-11-14T17:53:32Z,2026-03-03T13:22:20Z,839,0,TypeScript,71,0,113,282,0.7139240506329114
vllm-project/vllm,https://github.com/vllm-project/vllm,71773,2023-02-09T11:23:20Z,2026-03-03T14:11:29Z,1118,0,Python,14348,84,1705,12081,0.8763238067604816
python/cpython,https://github.com/python/cpython,71771,2017-02-10T19:23:51Z,2026-03-03T13:55:09Z,3307,0,Python,57184,0,7164,68261,0.905018230029831
ocornut/imgui,https://github.com/ocornut/imgui,71684,2014-07-21T14:29:47Z,2026-03-03T14:02:36Z,4242,0,C++,418,118,1033,5745,0.8475951608143996
PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,71574,2021-10-20T13:43:42Z,2026-03-03T13:39:29Z,1595,0,HTML,315,5,125,106,0.4588744588744589
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,71471,2020-05-08T10:38:16Z,2026-03-03T13:23:54Z,2125,0,Python,3115,29,224,10269,0.9786524349566378
moby/moby,https://github.com/moby/moby,71465,2013-01-18T18:10:57Z,2026-03-03T14:07:05Z,4791,0,Go,22345,273,3269,20110,0.860173660122332
strapi/strapi,https://github.com/strapi/strapi,71450,2015-09-30T15:34:48Z,2026-03-03T13:20:00Z,3806,0,TypeScript,9555,513,576,11225,0.9511905770697399
pallets/flask,https://github.com/pallets/flask,71282,2010-04-06T11:11:59Z,2026-03-03T14:10:18Z,5810,0,Python,1627,38,0,2722,1.0
dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,71060,2022-12-16T16:04:50Z,2026-03-03T13:35:34Z,1172,0,MDX,342,0,165,74,0.30962343096234307
apache/superset,https://github.com/apache/superset,70783,2015-07-21T18:55:34Z,2026-03-03T14:06:37Z,3877,0,TypeScript,16403,243,653,11532,0.9464095199015182
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,70780,2014-08-26T15:52:15Z,2026-03-03T13:54:04Z,4206,0,C++,8722,208,125,6668,0.9815987045488003
obsproject/obs-studio,https://github.com/obsproject/obs-studio,70666,2013-10-01T02:40:31Z,2026-03-03T11:59:31Z,4536,0,C,5418,235,756,4160,0.8462164361269324
hakimel/reveal.js,https://github.com/hakimel/reveal.js,70657,2011-06-07T18:54:22Z,2026-03-03T10:03:38Z,5382,0,JavaScript,413,49,794,1696,0.6811244979919678
caddyserver/caddy,https://github.com/caddyserver/caddy,70504,2015-01-13T19:45:03Z,2026-03-03T13:40:49Z,4066,0,Go,2251,133,202,4283,0.9549609810479376
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,70158,2023-03-20T09:05:13Z,2026-03-03T13:40:04Z,1079,0,Python,228,32,276,1480,0.8428246013667426
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,69994,2014-07-17T08:51:11Z,2026-03-03T13:57:04Z,4247,0,,827,0,345,245,0.4152542372881356
swiftlang/swift,https://github.com/swiftlang/swift,69799,2015-10-23T21:15:07Z,2026-03-03T13:46:44Z,3783,0,C++,58045,66,7407,10061,0.5759674833982139
Eugeny/tabby,https://github.com/Eugeny/tabby,69235,2016-12-23T09:06:10Z,2026-03-03T13:44:03Z,3357,0,TypeScript,1512,204,2516,3508,0.5823373173970784
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,69218,2012-02-19T01:30:18Z,2026-03-03T13:57:44Z,5126,0,PHP,695,29,10,307,0.9684542586750788
nektos/act,https://github.com/nektos/act,69101,2019-01-02T19:53:43Z,2026-03-03T13:44:03Z,2616,0,Go,1057,92,241,1076,0.8170083523158694
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,68921,2017-12-27T03:46:40Z,2026-03-03T13:55:10Z,2988,0,,37,0,0,0,
obra/superpowers,https://github.com/obra/superpowers,68869,2025-10-09T19:45:18Z,2026-03-03T14:12:45Z,144,-1,Shell,39,2,113,210,0.6501547987616099
expressjs/express,https://github.com/expressjs/express,68827,2009-06-26T18:56:01Z,2026-03-03T07:00:25Z,6093,0,JavaScript,522,164,100,3930,0.9751861042183623
base/node,https://github.com/base/node,68714,2023-02-01T13:55:02Z,2026-03-03T11:18:41Z,1126,0,Go,247,70,6,322,0.9817073170731707
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,68464,2024-03-13T03:33:31Z,2026-03-03T14:10:13Z,720,0,Python,6385,99,176,3654,0.954046997389034
AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,68338,2021-06-16T12:56:48Z,2026-03-03T13:56:29Z,1721,0,Dart,3894,127,901,2996,0.768796510136002
ansible/ansible,https://github.com/ansible/ansible,68145,2012-03-06T14:58:02Z,2026-03-03T14:06:44Z,5109,0,Python,39668,207,540,32751,0.9837793998377939
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,67808,2023-05-28T10:09:12Z,2026-03-03T13:47:06Z,1010,0,Python,897,35,897,6965,0.8859068939201221
chartjs/Chart.js,https://github.com/chartjs/Chart.js,67203,2013-03-17T23:56:36Z,2026-03-03T09:13:41Z,4733,0,JavaScript,3016,117,484,6817,0.9337077112724285
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,66784,2014-11-15T18:36:49Z,2026-03-03T14:05:09Z,4125,0,,194,0,43,39,0.47560975609756095
juliangarnier/anime,https://github.com/juliangarnier/anime,66712,2016-03-13T21:37:45Z,2026-03-03T14:03:23Z,3641,0,JavaScript,87,34,85,750,0.8982035928143712
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,66266,2018-09-04T13:27:04Z,2026-03-03T07:10:30Z,2737,0,JavaScript,262,0,0,119,1.0
webpack/webpack,https://github.com/webpack/webpack,65995,2012-03-10T10:08:14Z,2026-03-03T01:21:22Z,5106,0,JavaScript,5550,447,113,10035,0.9888648009459993
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,65847,2020-08-25T02:29:34Z,2026-03-03T14:11:08Z,2016,0,Python,104,0,28,114,0.8028169014084507
apache/echarts,https://github.com/apache/echarts,65838,2013-04-03T03:18:59Z,2026-03-03T13:43:02Z,4717,0,TypeScript,1492,122,1648,17655,0.9146246697404549
xtekky/gpt4free,https://github.com/xtekky/gpt4free,65700,2023-03-29T17:00:43Z,2026-03-03T13:55:30Z,1069,0,Python,871,429,7,1983,0.9964824120603015
TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,65502,2020-01-05T04:11:06Z,2026-03-03T13:30:32Z,2249,0,Roff,1,0,84,76,0.475
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,65300,2019-06-12T08:26:27Z,2026-03-03T12:12:50Z,2456,0,,328,0,19,233,0.9246031746031746
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,65259,2019-03-01T03:27:48Z,2026-03-03T14:11:33Z,2559,0,Java,553,51,1538,4322,0.7375426621160409
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,65259,2010-08-17T09:43:38Z,2026-03-03T13:48:01Z,5677,0,Python,14158,49,1587,10389,0.8674849699398798
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,65155,2014-07-11T13:35:34Z,2026-03-03T12:38:28Z,4253,0,,421,0,3,102,0.9714285714285714
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,65140,2016-07-16T10:21:02Z,2026-03-03T11:53:09Z,3517,0,Java,2266,0,25,1177,0.9792013311148087
kdn251/interviews,https://github.com/kdn251/interviews,64934,2017-02-14T18:19:25Z,2026-03-03T09:46:45Z,3303,0,Java,42,0,34,24,0.41379310344827586
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,64934,2020-05-06T14:40:35Z,2026-03-03T14:10:52Z,2126,0,,967,0,2,109,0.9819819819819819
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,64887,2018-02-06T23:54:00Z,2026-03-03T13:50:55Z,2946,0,Dockerfile,1,1,4189,728,0.14805775879601382
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,64726,2023-06-30T09:04:55Z,2026-03-03T14:12:39Z,977,-1,Python,673,22,15,889,0.9834070796460177
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,64623,2014-04-03T15:45:02Z,2026-03-03T02:39:49Z,4351,0,Assembly,355,0,57,330,0.8527131782945736
localstack/localstack,https://github.com/localstack/localstack,64531,2016-10-25T23:48:03Z,2026-03-03T12:54:32Z,3415,0,Python,6799,106,302,5867,0.9510455503323066
facebook/docusaurus,https://github.com/facebook/docusaurus,63974,2017-06-20T16:13:53Z,2026-03-03T12:17:19Z,3177,0,TypeScript,5619,154,291,3108,0.9143865842894969
keras-team/keras,https://github.com/keras-team/keras,63871,2015-03-28T00:35:42Z,2026-03-03T14:11:30Z,3993,0,Python,4631,86,199,12455,0.9842737474316422
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,63465,2022-07-31T18:45:21Z,2026-03-03T13:49:50Z,1310,0,TypeScript,9026,540,498,3105,0.861781848459617
prometheus/prometheus,https://github.com/prometheus/prometheus,62991,2012-11-24T11:14:12Z,2026-03-03T12:34:02Z,4847,0,Go,8224,359,513,5870,0.919630267899107
socketio/socket.io,https://github.com/socketio/socket.io,62919,2010-03-11T18:24:48Z,2026-03-03T09:50:32Z,5835,0,TypeScript,439,82,188,3462,0.9484931506849315
openai/codex,https://github.com/openai/codex,62815,2025-04-13T05:37:54Z,2026-03-03T14:08:08Z,324,0,Rust,4199,558,1325,4769,0.7825730226452248
resume/resume.github.com,https://github.com/resume/resume.github.com,62809,2011-02-06T13:39:55Z,2026-03-03T12:16:36Z,5504,0,JavaScript,84,0,60,66,0.5238095238095238
alacritty/alacritty,https://github.com/alacritty/alacritty,62742,2016-02-18T05:02:30Z,2026-03-03T13:00:06Z,3666,0,Rust,1916,105,322,5926,0.9484635083226632
openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,62508,2023-07-14T07:10:44Z,2026-03-03T13:55:21Z,963,0,Python,384,48,246,803,0.765490943755958
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,62480,2020-12-20T10:46:38Z,2026-03-03T14:02:59Z,1899,0,Python,4207,54,39,2244,0.9829172141918529
nocodb/nocodb,https://github.com/nocodb/nocodb,62285,2017-10-29T18:51:48Z,2026-03-03T14:07:39Z,3046,0,TypeScript,5814,183,429,4063,0.9044968833481746
rust-lang/rustlings,https://github.com/rust-lang/rustlings,62023,2015-09-15T02:25:18Z,2026-03-03T13:54:45Z,3822,0,Rust,922,46,50,708,0.9340369393139841
traefik/traefik,https://github.com/traefik/traefik,61988,2015-09-13T19:04:02Z,2026-03-03T13:13:56Z,3823,0,Go,5065,506,672,5930,0.8982126628294457
FuelLabs/sway,https://github.com/FuelLabs/sway,61921,2021-01-19T20:54:33Z,2026-03-03T07:41:02Z,1868,0,Rust,3638,185,846,2418,0.7408088235294118
gorhill/uBlock,https://github.com/gorhill/uBlock,61878,2015-04-01T17:51:11Z,2026-03-03T13:30:49Z,3988,0,JavaScript,256,283,13,3434,0.996228604583696
ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,61836,2014-12-05T04:31:17Z,2026-03-03T14:03:59Z,4106,0,CSS,565,38,47,1079,0.9582593250444049
daytonaio/daytona,https://github.com/daytonaio/daytona,61683,2024-02-06T08:21:20Z,2026-03-03T14:09:04Z,756,0,TypeScript,1841,161,233,833,0.7814258911819888
lodash/lodash,https://github.com/lodash/lodash,61575,2012-04-07T04:11:46Z,2026-03-03T10:26:47Z,5078,0,JavaScript,614,2,64,4274,0.9852466574458276
tldr-pages/tldr,https://github.com/tldr-pages/tldr,61516,2013-12-08T07:34:43Z,2026-03-03T13:00:02Z,4468,0,Markdown,17721,6,203,1480,0.8793820558526441
reduxjs/redux,https://github.com/reduxjs/redux,61437,2015-05-29T23:53:15Z,2026-03-03T07:37:36Z,3930,0,TypeScript,1746,78,37,2030,0.9820996613449444
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,61293,2024-05-09T09:48:50Z,2026-03-03T14:11:05Z,663,0,Python,163,13,182,750,0.8047210300429185
atom/atom,https://github.com/atom/atom,60994,2012-01-20T18:18:21Z,2026-03-03T13:02:03Z,5155,0,JavaScript,3937,538,963,16148,0.9437204137689206
LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,60921,2024-05-30T09:18:10Z,2026-03-03T13:23:32Z,642,0,C++,5871,0,548,922,0.6272108843537415
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,60844,2018-04-06T13:30:58Z,2026-03-03T13:51:33Z,2888,0,,49,0,48,23,0.323943661971831
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,60792,2012-02-09T23:34:10Z,2026-03-03T04:48:06Z,5135,0,Nunjucks,484,0,34,143,0.807909604519774
youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,60536,2019-12-14T12:05:42Z,2026-03-03T14:06:46Z,2271,0,Shell,2311,0,209,68,0.24548736462093862
scrapy/scrapy,https://github.com/scrapy/scrapy,60506,2010-02-22T02:01:14Z,2026-03-03T13:44:22Z,5853,0,Python,2475,46,461,2780,0.8577599506325209
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,60454,2016-03-11T02:02:33Z,2026-03-03T13:21:57Z,3644,0,Rust,544,74,94,1673,0.9468024900962083
minio/minio,https://github.com/minio/minio,60407,2015-01-14T19:23:58Z,2026-03-03T12:45:50Z,4065,0,Go,9882,521,45,7840,0.9942929613189601
commaai/openpilot,https://github.com/commaai/openpilot,60215,2016-11-24T01:33:30Z,2026-03-03T13:19:50Z,3386,0,Python,12625,61,179,3042,0.944427196522819
adam-p/markdown-here,https://github.com/adam-p/markdown-here,60156,2012-05-13T03:27:22Z,2026-03-03T14:01:39Z,5042,0,JavaScript,27,17,301,333,0.5252365930599369
jquery/jquery,https://github.com/jquery/jquery,59846,2009-04-03T15:20:14Z,2026-03-03T06:07:37Z,6177,0,JavaScript,867,13,77,2304,0.9676606467870642
nuxt/nuxt,https://github.com/nuxt/nuxt,59739,2016-10-26T11:18:47Z,2026-03-03T12:19:59Z,3415,0,TypeScript,7458,274,810,16347,0.9527889491169785
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,59691,2010-12-08T04:04:45Z,2026-03-03T12:07:08Z,5564,0,Java,905,357,309,27570,0.9889163886796514
jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,59627,2017-05-25T20:58:42Z,2026-03-03T09:30:29Z,3203,0,JavaScript,22,169,60,1677,0.9654576856649395
pathwaycom/pathway,https://github.com/pathwaycom/pathway,59526,2022-11-27T13:01:14Z,2026-03-03T11:40:26Z,1192,0,Python,19,84,27,113,0.8071428571428572
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,59464,2019-05-26T08:56:15Z,2026-03-03T14:10:18Z,2473,0,Python,50,0,160,951,0.855985598559856
git/git,https://github.com/git/git,59438,2008-07-23T14:21:26Z,2026-03-03T14:01:39Z,6431,0,C,3,0,0,0,
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,59261,2013-01-14T07:54:16Z,2026-03-03T14:05:22Z,4796,0,C#,290,55,188,2727,0.9355060034305317
meta-llama/llama,https://github.com/meta-llama/llama,59185,2023-02-14T09:29:12Z,2026-03-03T14:07:35Z,1113,0,Python,54,0,460,652,0.5863309352517986
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,59153,2017-05-07T11:45:27Z,2026-03-03T12:38:27Z,3222,0,Dart,448,0,0,0,
topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,59025,2016-09-08T12:42:53Z,2026-03-03T13:51:28Z,3463,0,Rust,1688,156,39,6453,0.993992606284658
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,58940,2019-11-19T17:24:16Z,2026-03-03T14:09:41Z,2295,0,Python,136,0,64,84,0.5675675675675675
angular/angular.js,https://github.com/angular/angular.js,58925,2010-01-06T00:34:37Z,2026-03-03T02:54:32Z,5900,0,JavaScript,790,0,389,8644,0.9569356802834053
cline/cline,https://github.com/cline/cline,58574,2024-07-06T07:28:10Z,2026-03-03T13:39:11Z,605,0,TypeScript,3235,238,506,2897,0.851307669703203
PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,58506,2022-12-12T01:55:03Z,2026-03-03T13:51:05Z,1177,0,,33,0,38,59,0.6082474226804123
affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,58379,2026-01-18T00:51:51Z,2026-03-03T14:11:50Z,44,0,JavaScript,86,9,10,114,0.9193548387096774
rails/rails,https://github.com/rails/rails,58301,2008-04-11T02:19:47Z,2026-03-03T13:43:32Z,6535,0,Ruby,25881,160,508,17970,0.9725078471696071
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,58208,2018-06-25T05:33:03Z,2026-03-03T13:58:49Z,2808,0,Go,52,14,109,241,0.6885714285714286
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,57547,2011-04-14T14:12:38Z,2026-03-03T13:59:24Z,5436,0,C,0,0,0,0,
sharkdp/bat,https://github.com/sharkdp/bat,57458,2018-04-21T10:52:23Z,2026-03-03T13:53:48Z,2873,0,Rust,1576,43,314,1265,0.8011399620012666
usememos/memos,https://github.com/usememos/memos,57435,2021-12-08T15:30:18Z,2026-03-03T13:50:39Z,1545,0,Go,1906,86,15,2808,0.9946865037194474
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,57394,2010-01-24T18:03:24Z,2026-03-03T13:40:36Z,5881,0,JavaScript,804,34,5,1353,0.9963181148748159
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,57349,2020-08-27T21:12:14Z,2026-03-03T11:01:50Z,2013,0,Rust,1614,124,158,996,0.8630849220103987
withastro/astro,https://github.com/withastro/astro,57229,2021-03-15T17:19:47Z,2026-03-03T13:24:00Z,1813,0,TypeScript,8215,1000,190,5780,0.9681742043551089
pmndrs/zustand,https://github.com/pmndrs/zustand,57220,2019-04-09T09:10:06Z,2026-03-03T13:09:10Z,2520,0,TypeScript,888,101,2,691,0.9971139971139971
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,57177,2018-06-27T06:36:45Z,2026-03-03T10:27:26Z,2806,0,JavaScript,302,0,111,81,0.421875
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,57146,2023-05-02T09:15:31Z,2026-03-03T11:15:57Z,1036,0,Python,226,10,262,965,0.7864710676446618
ultralytics/yolov5,https://github.com/ultralytics/yolov5,56916,2020-05-18T03:45:11Z,2026-03-03T12:55:09Z,2115,0,Python,2239,10,40,9400,0.9957627118644068
soimort/you-get,https://github.com/soimort/you-get,56758,2012-08-20T15:53:36Z,2026-03-03T07:55:29Z,4942,0,Python,582,123,0,0,
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,56520,2022-07-05T06:06:21Z,2026-03-03T14:08:43Z,1337,0,Go,55,244,23,1928,0.9882111737570477
remix-run/react-router,https://github.com/remix-run/react-router,56278,2014-05-16T22:22:51Z,2026-03-03T13:35:58Z,4308,0,TypeScript,3413,326,113,8197,0.9864019253910951
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,56228,2023-07-19T08:43:37Z,2026-03-03T11:11:58Z,958,0,Jupyter Notebook,49,0,5,13,0.7222222222222222
dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,56214,2018-02-17T22:40:20Z,2026-03-03T13:46:23Z,2935,0,Rust,1079,78,10,2551,0.9960952752830925
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,56173,2017-03-03T21:52:39Z,2026-03-03T13:05:58Z,3286,0,Python,94,2,780,598,0.4339622641509434
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,56166,2018-04-23T11:45:28Z,2026-03-03T13:08:12Z,2871,0,Rust,2331,299,229,2163,0.9042642140468228
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,55951,2014-06-08T15:02:55Z,2026-03-03T13:58:27Z,4285,0,Shell,2171,123,32,3094,0.9897632757517595
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,55948,2015-05-21T22:43:05Z,2026-03-03T02:25:34Z,3938,0,JavaScript,18243,158,216,13914,0.9847133757961783
rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,55947,2014-07-17T10:45:10Z,2026-03-03T12:38:31Z,4247,0,Rust,1690,0,10,133,0.9300699300699301
